"USERCODE","EMAIL","PASSWORD","FIRSTNAME","LASTNAME","AGE","WEIGHT","HEIGHT","GENDER","EXCODE"
1,user1@example.com,password123,John,Doe,25,70,175,M,3
2,user2@example.com,password456,Jane,Smith,30,60,165,F,2
3,user3@example.com,password789,Alice,Johnson,40,80,180,F,4
4,user4@example.com,passwordabc,Bob,Brown,35,75,170,M,1
5,user5@example.com,passworddef,Emily,Davis,28,55,160,F,2
6,user6@example.com,passwordghi,Michael,Wilson,45,90,185,M,5
7,user7@example.com,passwordjkl,Sophia,Miller,32,65,170,F,3
8,user8@example.com,passwordmno,David,Taylor,50,85,180,M,4
9,user9@example.com,passwordpqr,Olivia,Anderson,27,58,162,F,1
10,user10@example.com,passwordstu,James,Thomas,33,72,178,M,2
